ID	HPO_Terms	Diagnostic_Genes
SCV003807282	HP:0001883; HP:0000212; HP:0002705; HP:0100540; HP:0000316; HP:0000637; HP:0001263; HP:0002650; HP:0000689; HP:0001087; HP:0000431; HP:0000463; HP:0003508; HP:0040080; HP:0200055; HP:0008848; HP:0002751; HP:0005280; HP:0004322; HP:0000278; HP:0002652; HP:0000260	SH3PXD2B
SCV000741407	HP:0000717; HP:0001250; HP:0012432; HP:0012450; HP:0008661; HP:0000790; HP:0001824; HP:0001254; HP:0001508; HP:0000978; HP:0000411; HP:0003196; HP:0001252; HP:0012758; HP:0002353; HP:0002579; HP:0004326; HP:0011968; HP:0012146; HP:0002573; HP:0002584	VWF
SCV004031438	HP:0005527; HP:0003645	KNG1
SCV001737597	HP:0011099; HP:0006934; HP:0100704; HP:0002171	PROC
SCV001446493	HP:0000271; HP:0001263; HP:0001620; HP:0009125; HP:0004322	ADAMTSL2
SCV001749120	HP:0010864; HP:0001999; HP:0410263; HP:0001250; HP:0000729	TRAPPC9
SCV001905599	HP:0000365; HP:0000407; HP:0000717; HP:0001131; HP:0001249	SLC4A11
SCV000999317	HP:0008689; HP:0002744; HP:0004408; HP:0001256; HP:0000054; HP:0000729; HP:0000387; HP:0012712; HP:0012714	CHD7
SCV001448910	HP:0001249; HP:0001290; HP:0001263; HP:0000729; HP:0000750; HP:0001270; HP:0012332; HP:0000280; HP:0000574; HP:0001007; HP:0002208; HP:0000664; HP:0000189; HP:0000168; HP:0000505; HP:0000486; HP:0000431; HP:0000455; HP:0002680; HP:0000377; HP:0009908; HP:0006119; HP:0001034; HP:0002136; HP:0002719; HP:0002360	TMPRSS6
SCV004244362	HP:0008169; HP:0002500; HP:0003128; HP:0002353; HP:0000175	PDHX
SCV005060901	HP:0000478	ROBO3
SCV000742071	HP:0007240; HP:0100275; HP:0000750; HP:0001382	SETX
SCV001448134	HP:0000750; HP:0001629; HP:0001633; HP:0004322; HP:0001263; HP:0000824; HP:0004209	ADAMTS10
SCV001447479	HP:0003390; HP:0003474; HP:0008997; HP:0008994	MFN2
SCV002577942	HP:0001251; HP:0002080; HP:0000639; HP:0001252	GJC2
SCV004101553	HP:0001263; HP:0001250	ADSL
