ID	HPO_Terms	Diagnostic_Genes
D_262148	HP:0030680; HP:0000717; HP:0001488; HP:0001651; HP:0001642; HP:0000723; HP:0001328; HP:0000486	MMP21
D_294921	HP:0001999; HP:0000028; HP:0002194; HP:0000256	TAOK1
D_294923	HP:0100309; HP:0002007; HP:0000256; HP:0000219; HP:0005490; HP:0000680; HP:0000684; HP:0005280; HP:0002119; HP:0001090; HP:0010952	PTCH1
D_262161	HP:0001631; HP:0000405; HP:0002019; HP:0006191; HP:0001476; HP:0001644; HP:0008872; HP:0002007; HP:0002020; HP:0001290; HP:0000347; HP:0001634; HP:0001250; HP:0000368	MAP3K7
D_262164	HP:0001999; HP:0001331; HP:0007598; HP:0001321; HP:0001263; HP:0002036; HP:0002365; HP:0002566; HP:0001339; HP:0000100; HP:0010557	ATP6V1B2
D_262169	HP:0001167; HP:0005306; HP:0004214; HP:0000252; HP:0001250	SLC2A1
D_262172	HP:0000032; HP:0000494; HP:0001263; HP:0001382; HP:0000272; HP:0001642; HP:0001883	NSD2
D_262225	HP:0008619; HP:0000248; HP:0000750; HP:0000400	AHDC1
D_294995	HP:0000483; HP:0000337; HP:0008915; HP:0000490; HP:0001034; HP:0011343; HP:0000545; HP:0001763; HP:0000010; HP:0000322; HP:0001065; HP:0001182	SETD1B
D_262229	HP:0002069; HP:0000750; HP:0000752; HP:0004324; HP:0001249; HP:0000294; HP:0000369; HP:0000396; HP:0001182	CACNA1A
D_295007	HP:0000729; HP:0002286; HP:0000460; HP:0005437; HP:0001250	DEAF1
D_262240	HP:0010720; HP:0000490; HP:0000750; HP:0002007; HP:0001250; HP:0000319; HP:0000486	SATB2
D_295009	HP:0011343; HP:0000028; HP:0000750; HP:0008873	PTEN
D_295010	HP:0000750; HP:0001290; HP:0003186; HP:0000054; HP:0001270; HP:0000426; HP:0000574; HP:0000582	PHF6
D_262249	HP:0001999; HP:0002019; HP:0001263; HP:0002650; HP:0002360	AHDC1
D_262250	HP:0004209; HP:0007328; HP:0011343; HP:0002360; HP:0000465	BRSK2
D_262253	HP:0001488; HP:0002002; HP:0000252; HP:0011342; HP:0006237; HP:0000426; HP:0004322	CACNA1E
D_262254	HP:0002019; HP:0002187; HP:0001830; HP:0001250; HP:0001883	AFF3
D_262262	HP:0001999; HP:0001780; HP:0002539; HP:0000028; HP:0001263; HP:0000023; HP:0001883	MED13L
D_262263	HP:0009601; HP:0001629; HP:0002984; HP:0002247	CAMK2A
D_295042	HP:0001263; HP:0002020; HP:0004322	DYRK1A
D_262278	HP:0001344; HP:0003763; HP:0002019; HP:0002020; HP:0000733; HP:0004891; HP:0001250; HP:0011344; HP:0000505; HP:0009062	MEF2C
D_295049	HP:0000463; HP:0002136; HP:0000957; HP:0001305; HP:0005280; HP:0001263; HP:0000256; HP:0000322; HP:0000486	FOXP1
D_295050	HP:0000177; HP:0009602; HP:0001181; HP:0000286; HP:0002705; HP:0002650; HP:0006150; HP:0001193	MYH3
D_262292	HP:0000969; HP:0002123; HP:0001263; HP:0000364; HP:0000316; HP:0006956; HP:0001642; HP:0005484; HP:0002944; HP:0007917	SETD2
D_295062	HP:0000463; HP:0005824; HP:0000028; HP:0000490; HP:0000750; HP:0005280; HP:0000286; HP:0001263; HP:0000218; HP:0002553; HP:0001252; HP:0000767; HP:0006970; HP:0008070; HP:0000506; HP:0010804	ASXL1
D_262297	HP:0001642; HP:0005069; HP:0003510	FBN1
D_295068	HP:0001334; HP:0000028; HP:0000965; HP:0000316; HP:0000256; HP:0001355	PIK3CA
D_295069	HP:0001344; HP:0002069; HP:0002121; HP:0001800; HP:0002342; HP:0011343	SLC6A8
D_327843	HP:0002072; HP:0002267; HP:0000256	CACNA1A
D_295092	HP:0000717; HP:0000581; HP:0004209; HP:0000252; HP:0001250; HP:0011344; HP:0000445	SHANK3
D_262325	HP:0002188; HP:0001263; HP:0001319	GRIN2B
D_262336	HP:0009906; HP:0002069; HP:0000453; HP:0000750; HP:0002020; HP:0002123; HP:0002121; HP:0002553; HP:0011937; HP:0000343; HP:0002360; HP:0000664; HP:0001182	NIPBL
D_295112	HP:0001769; HP:0001829; HP:0011471; HP:0010864; HP:0002003; HP:0000256; HP:0000648; HP:0002126; HP:0001162; HP:0001852; HP:0001250; HP:0000742; HP:0007738; HP:0002119	CCND2
D_262346	HP:0000718; HP:0000708; HP:0000717; HP:0001647; HP:0008689; HP:0002019; HP:0005176; HP:0010529; HP:0002342; HP:0001382; HP:0000411; HP:0004482; HP:0001533; HP:0002943	ZMYM2
D_295117	HP:0000750; HP:0002373; HP:0001263; HP:0001763	ASXL3
D_295133	HP:0002069; HP:0002376; HP:0011344	KCNB1
D_295135	HP:0000337; HP:0000316; HP:0002342; HP:0005484; HP:0001773; HP:0000486; HP:0000445	CSNK2A1
D_295136	HP:0011343; HP:0007052; HP:0001696	NF1; EEF1A2
D_295138	HP:0000957; HP:0000378; HP:0001382; HP:0010747; HP:0011342	HUWE1
D_262374	HP:0000637; HP:0001642; HP:0001629; HP:0002744	CTCF
D_262377	HP:0000717; HP:0002307; HP:0001249; HP:0000252; HP:0001684; HP:0000486	KAT6A
D_262378	HP:0010535; HP:0008872; HP:0001249; HP:0001629; HP:0002019; HP:0000496; HP:0001631	UNC80
D_262389	HP:0004691; HP:0004209; HP:0009890; HP:0000348; HP:0000218; HP:0002553; HP:0001249; HP:0003508; HP:0001852; HP:0000470	KMT2A
D_262390	HP:0000646; HP:0008115; HP:0001864; HP:0002194; HP:0000750; HP:0001263; HP:0000338; HP:0001249; HP:0001891; HP:0001382; HP:0001773; HP:0004279; HP:0000486; HP:0000582	TRIO
D_262397	HP:0000717; HP:0001822; HP:0001249; HP:0001513; HP:0001761	POGZ
D_262418	HP:0002334; HP:0003131; HP:0001290; HP:0001249	TFE3
D_262420	HP:0000496; HP:0001263; HP:0001382; HP:0010511; HP:0001238	LINS1
D_262423	HP:0008872; HP:0000540; HP:0000601; HP:0001249; HP:0009765; HP:0000252	EP300
D_295192	HP:0008619; HP:0200000; HP:0000752; HP:0000685; HP:0006397; HP:0000252; HP:0008551; HP:0004322	CDK5RAP2
D_295213	HP:0001864; HP:0005280; HP:0100000; HP:0002007; HP:0000256; HP:0100258; HP:0000368	PTCH1
D_262450	HP:0000325; HP:0003508; HP:0000717; HP:0000272; HP:0002020; HP:0003799; HP:0000486; HP:0000248; HP:0000684; HP:0001263; HP:0003186; HP:0001382; HP:0000750; HP:0001476; HP:0001629; HP:0002645; HP:0001182	CNOT3
D_295219	HP:0002538; HP:0001344; HP:0002307; HP:0000286; HP:0001288; HP:0007772; HP:0011406; HP:0000252; HP:0002370; HP:0011344	POMGNT1
D_295223	HP:0010722; HP:0009902; HP:0002657; HP:0008605	FN1
D_295237	HP:0004209; HP:0011343; HP:0000253; HP:0004689	TRIO
D_262470	HP:0000348; HP:0000347; HP:0000426; HP:0001182; HP:0000687	SLC2A1
D_262471	HP:0001545; HP:0002194; HP:0000750; HP:0002236; HP:0001263; HP:0009889; HP:0000486; HP:0000179; HP:0001388; HP:0000535	BCL11A
D_262478	HP:0004691; HP:0000717; HP:0002557; HP:0001249; HP:0001382	MAOA
D_295247	HP:0000718; HP:0000750; HP:0000719; HP:0000311	FOXP2
D_295248	HP:0002020; HP:0008499; HP:0001256; HP:0001382	SUZ12
D_295249	HP:0000587; HP:0002020; HP:0001256; HP:0001382; HP:0009763; HP:0001548	SUZ12
D_262508	HP:0001321; HP:0100704; HP:0000519; HP:0002197; HP:0009099; HP:0011344	CDKL5
D_295284	HP:0000028; HP:0010751; HP:0000286; HP:0002342; HP:0000675; HP:0000331; HP:0000574; HP:0000368	TRIP12
D_295287	HP:0004691; HP:0000750; HP:0000486; HP:0001182	TLK2
D_295289	HP:0000248; HP:0000453; HP:0010281; HP:0001814; HP:0005280; HP:0002007; HP:0000316; HP:0001212; HP:0006381; HP:0000486; HP:0001159; HP:0001883	AMER1
D_295291	HP:0000193; HP:0000750; HP:0001601; HP:0011342; HP:0011683; HP:0000278; HP:0000176	MED13L
D_262526	HP:0008872; HP:0000193; HP:0008619; HP:0000978; HP:0000692; HP:0001249; HP:0000504; HP:0001382; HP:0000639; HP:0000218; HP:0000545; HP:0000020; HP:0001319; HP:0002079	NONO
D_295294	HP:0004209; HP:0002036; HP:0000316; HP:0001629	SMC3
D_360836	HP:0000475; HP:0002750; HP:0005280; HP:0011196; HP:0001263; HP:0000540; HP:0003186; HP:0000347; HP:0006970; HP:0011220	MED13L
D_295301	HP:0011342; HP:0000189; HP:0003764; HP:0002587	DDX3X
D_262536	HP:0002761; HP:0000256; HP:0001328	PYGL
D_524681	HP:0012332; HP:0200020; HP:0001263; HP:0007021; HP:0000556; HP:0002650; HP:0004322; HP:0000486	LIFR
