ID	HPO_Terms	Diagnostic_Genes
Isolated asymptomatic elevation of creatine phosphokinase	HP:0003236	CAV3
Isolated corpus callosum agenesis	HP:0001274; HP:0000736; HP:0000750; HP:0001252; HP:0001328; HP:0002015; HP:0002342; HP:0002370; HP:0002463; HP:0010522; HP:0010864; HP:0031843	NONE
Phacoanaphylactic uveitis	HP:0000572; HP:0200026; HP:0500081; HP:0000491; HP:0000613; HP:0000615; HP:0000622; HP:0007773; HP:0011488; HP:0012122; HP:0012123; HP:0025337; HP:0030953; HP:0004327; HP:0007906; HP:0007917; HP:0008030; HP:0011484; HP:0011505; HP:0011531; HP:0011886; HP:0012040; HP:0012121; HP:0025341; HP:0025561; HP:0030485; HP:0030486; HP:0031615; HP:0031618; HP:0040049	NONE
Multiminicore myopathy	HP:0003198; HP:0003741; HP:0003789; HP:0000486; HP:0001290; HP:0001387; HP:0001508; HP:0002093; HP:0002650; HP:0002747; HP:0003306; HP:0003457; HP:0004303; HP:0004322; HP:0005692; HP:0008994; HP:0008997; HP:0000544; HP:0002047; HP:0002460; HP:0002804	NONE
Pulmonary atresia-intact ventricular septum syndrome	HP:0004935; HP:0001643; HP:0001702	NONE
Classical Ehlers-Danlos syndrome	HP:0002829; HP:0004947; HP:0000286; HP:0001763; HP:0009763; HP:0010750; HP:0000978; HP:0030009; HP:0002315; HP:0001762; HP:0001065; HP:0031653; HP:0002650; HP:0010749; HP:0002036; HP:0001278; HP:0001634; HP:0003083; HP:0001760; HP:0002013; HP:0012378; HP:0025014; HP:0001653; HP:0003394; HP:0001073; HP:0002035; HP:0006243; HP:0025509; HP:0003771; HP:0031364; HP:0002758; HP:0012450; HP:0000023; HP:0000139; HP:0000481; HP:0001063; HP:0002616; HP:0007495; HP:0010754; HP:0001270; HP:0005294; HP:0004944; HP:0000938; HP:0000015; HP:0000974; HP:0000993; HP:0004872; HP:0002827; HP:0001537; HP:0003834; HP:0002999; HP:0003010; HP:0001075; HP:0025019; HP:0001704; HP:0002020; HP:0001386; HP:0001252; HP:0001324; HP:0002761; HP:0001058; HP:0001030; HP:0001027; HP:0002018	COL5A2; COL5A1; COL1A1
Neonatal inflammatory skin and bowel disease	HP:0000498; HP:0001805; HP:0003765; HP:0005406; HP:0008396; HP:0010783; HP:0011131; HP:0011228; HP:0011354; HP:0012390; HP:0025085; HP:0031123; HP:0040181; HP:0040189; HP:0100038; HP:0200039; HP:0410017; HP:0001712	EGFR; ADAM17
"Methylmalonic acidemia with homocystinuria, type cblD"	HP:0000708; HP:0000980; HP:0001249; HP:0001250; HP:0001254; HP:0001263; HP:0001288; HP:0001508; HP:0001980; HP:0002039; HP:0012378; HP:0100022	MMADHC
Ovarian hyperstimulation syndrome	HP:0000138; HP:0000837; HP:0001007; HP:0001541; HP:0002017; HP:0002018; HP:0002027; HP:0002202; HP:0003270; HP:0007430; HP:0008675; HP:0011106; HP:0012398; HP:0030088; HP:0012886; HP:0030005; HP:0100598	FSHR
Ileal neuroendocrine tumor	HP:0006722; HP:0001005; HP:0002254; HP:0002574; HP:0003144; HP:0001824; HP:0001891; HP:0002018; HP:0002572; HP:0002716; HP:0002910; HP:0003148; HP:0004796; HP:0005249; HP:0012334; HP:0012432; HP:0025324; HP:0030142; HP:0100819; HP:0000126; HP:0000969; HP:0001399; HP:0001642; HP:0001708; HP:0001962; HP:0002044; HP:0002615; HP:0010446; HP:0011675; HP:0025426; HP:0030149	NONE
Idiopathic chronic eosinophilic pneumonia	HP:0031983; HP:0032177; HP:0001047; HP:0001974; HP:0002091; HP:0002094; HP:0002099; HP:0002960; HP:0003212; HP:0003565; HP:0006516; HP:0011227; HP:0012418; HP:0030828; HP:0030830; HP:0031246; HP:0032017; HP:0032061; HP:0001824; HP:0001945; HP:0002829; HP:0025406; HP:0030166; HP:0002202; HP:0011024; HP:0011354; HP:0100750	NONE
Hypoplasminogenemia	HP:0000478; HP:0000504; HP:0040228; HP:0000212; HP:0000230; HP:0000137; HP:0000238; HP:0000370; HP:0000704; HP:0000787; HP:0000951; HP:0001305; HP:0002086; HP:0002588; HP:0011027; HP:0030160	PLG
Syndromic X-linked intellectual disability 7	HP:0000028; HP:0000054; HP:0000135; HP:0000572; HP:0000692; HP:0001182; HP:0001249; HP:0001324; HP:0001513; HP:0002231; HP:0002342; HP:0002546; HP:0004322; HP:0006482; HP:0008736	NONE
Joubert syndrome with oculorenal defect	HP:0000112; HP:0000556; HP:0001249; HP:0001251; HP:0001252; HP:0001263; HP:0001320; HP:0002104; HP:0002419; HP:0002789; HP:0000276; HP:0000368; HP:0000505; HP:0000508; HP:0000567; HP:0000612; HP:0000618; HP:0000639; HP:0000708; HP:0000729; HP:0004422; HP:0000083; HP:0000238; HP:0000426; HP:0000463; HP:0000486; HP:0000864; HP:0001161; HP:0001250; HP:0001829; HP:0002084; HP:0002251; HP:0002269; HP:0002553; HP:0002650; HP:0007370; HP:0030680	CEP290; CC2D2A; TMEM216; TMEM237; TMEM138; ZNF423; TMEM231
Choreoacanthocytosis	HP:0002072; HP:0004305; HP:0000708; HP:0001250; HP:0001300; HP:0001315; HP:0001927; HP:0002275; HP:0002340; HP:0002451; HP:0002460; HP:0002495; HP:0002527; HP:0003198; HP:0003236; HP:0003438; HP:0003445; HP:0003477; HP:0003693; HP:0006956; HP:0007078; HP:0012049; HP:0025402; HP:0030272; HP:0100034; HP:0100035; HP:0100295; HP:0000496; HP:0000514; HP:0000643; HP:0000712; HP:0000716; HP:0000718; HP:0000722; HP:0000736; HP:0000737; HP:0000739; HP:0000741; HP:0000752; HP:0001260; HP:0001268; HP:0001276; HP:0001350; HP:0001369; HP:0001744; HP:0001824; HP:0002015; HP:0002067; HP:0002069; HP:0002120; HP:0002240; HP:0002322; HP:0002487; HP:0002505; HP:0002599; HP:0003380; HP:0003763; HP:0004302; HP:0006913; HP:0008110; HP:0008767; HP:0009049; HP:0010808; HP:0011999; HP:0012048; HP:0012167; HP:0012168; HP:0012479; HP:0012697; HP:0025100; HP:0025331; HP:0025479; HP:0025517; HP:0030220; HP:0031008; HP:0031843; HP:0031908; HP:0031982; HP:0100716; HP:0001644; HP:0002360; HP:0012332; HP:0012675; HP:0025435; HP:0031956; HP:0031964	VPS13A
Familial short QT syndrome	HP:0012232; HP:0001662; HP:0001962; HP:0005110; HP:0001279; HP:0001645; HP:0001663; HP:0001678; HP:0004308	SLC4A3; KCNJ2; KCNH2; KCNQ1; CACNA2D1
Alpha-heavy chain disease	HP:0002024; HP:0002244; HP:0002961; HP:0001903; HP:0002027; HP:0002721; HP:0002901; HP:0001510; HP:0001541; HP:0001596; HP:0001744; HP:0001945; HP:0002240; HP:0002665; HP:0002716	NONE
Monosomy 13q34	HP:0001256; HP:0001263; HP:0001510; HP:0001513; HP:0001999; HP:0000252; HP:0000316; HP:0000337; HP:0000426; HP:0000448; HP:0000455; HP:0000494; HP:0003256; HP:0000286; HP:0000347; HP:0000358; HP:0000363; HP:0000421; HP:0000855; HP:0001397; HP:0001642; HP:0001763; HP:0002573; HP:0003645; HP:0008151; HP:0010945; HP:0011228; HP:0011565; HP:0100608; HP:0001162; HP:0001274; HP:0001830; HP:0008250; HP:0032152; HP:0040188	NONE
COG7-CDG	HP:0001167; HP:0012301; HP:0002910; HP:0001954; HP:0008897; HP:0001181; HP:0000253; HP:0000952; HP:0002240; HP:0002719; HP:0001999; HP:0001265; HP:0001250; HP:0000470; HP:0001272; HP:0000160; HP:0000347; HP:0000077; HP:0001627; HP:0012444; HP:0007392; HP:0012157; HP:0011968; HP:0001433; HP:0001284; HP:0001508; HP:0002014; HP:0000278; HP:0003236; HP:0001252; HP:0100807	COG7
