ID	HPO_Terms	Diagnostic_Genes
PMID_28239884_Family_1_proband	HP:0007530	AAGAB
PMID_28239884_Family_2_proband	HP:0007530	AAGAB
PMID_28239884_Family_3_proband	HP:0007530	AAGAB
PMID_10874631_II.2	HP:0000662; HP:0001133; HP:0000550; HP:0000543; HP:0032286; HP:0030491; HP:0000580	ABCA4
PMID_11050011_II-1	HP:0012187; HP:0001263; HP:0001824; HP:0002463; HP:0002075; HP:0000639; HP:0001924; HP:0004840; HP:0001321; HP:0001315; HP:0002470; HP:0000980; HP:0004322; HP:0100543; HP:0001260	ABCB7
PMID_34354969_P18	HP:0000717; HP:0012751; HP:0001903; HP:0002172; HP:0001250; HP:0001260; HP:0025373; HP:0001263; HP:0001992; HP:0006999; HP:0000028; HP:0002463; HP:0001824; HP:0000639; HP:0001251; HP:0001252; HP:0001315; HP:0001288; HP:0004322	ABCB7
PMID_22398176_proband	HP:0011273; HP:0004447; HP:0012187; HP:0000486; HP:0001260; HP:0001288; HP:0002172; HP:0020081	ABCB7
PMID_26242992_III-6	HP:0001263; HP:0002470; HP:0001260; HP:0001321; HP:0002172; HP:0000602	ABCB7
PMID_11118249_PATIENT_II.1	HP:0001903; HP:0100022; HP:0000726	ABCB7
PMID_26242992_IV-40	HP:0001263; HP:0002470; HP:0001260; HP:0001321; HP:0000639; HP:0002172; HP:0001252	ABCB7
PMID_4045952_IV.12	HP:0001263; HP:0002470; HP:0001903; HP:0002169; HP:0003487; HP:0012187; HP:0000486; HP:0001260	ABCB7
PMID_26242992_IV-26	HP:0001263; HP:0002470; HP:0001260; HP:0001321; HP:0000639; HP:0002172; HP:0000602	ABCB7
PMID_26242992_III-17	HP:0001263; HP:0002470; HP:0001260; HP:0001321; HP:0000639; HP:0002172; HP:0000602	ABCB7
PMID_4045952_IV.13	HP:0001263; HP:0002470; HP:0001310; HP:0001903; HP:0001347; HP:0003487; HP:0001260; HP:0002463	ABCB7
PMID_26242992_III-18	HP:0001263; HP:0002470; HP:0001260; HP:0001321; HP:0000639; HP:0002172; HP:0000602; HP:0001618	ABCB7
PMID_11050011_II-2	HP:0004840; HP:0012187; HP:0001260; HP:0002075; HP:0004322; HP:0000639; HP:0001315	ABCB7
PMID_4045952_IV.5	HP:0001263; HP:0002470; HP:0001310; HP:0002080; HP:0004840; HP:0001924; HP:0011273; HP:0004447; HP:0031020; HP:0002169; HP:0003487; HP:0012187; HP:0001288	ABCB7
PMID_11118249_PATIENT_II.2	HP:0001263; HP:0001347; HP:0001260; HP:0002075; HP:0001288; HP:0000639; HP:0002172	ABCB7
PMID_11118249_PATIENT_III.2	HP:0001263; HP:0001251; HP:0001903; HP:0011273; HP:0012187; HP:0001260; HP:0001288; HP:0000639; HP:0100753; HP:0006897; HP:0020081; HP:0001272; HP:0002363; HP:0034280; HP:0032550	ABCB7
PMID_26242992_III-30	HP:0001263; HP:0002470; HP:0001260; HP:0001321; HP:0002172; HP:0000602; HP:0001252; HP:0001618; HP:0001336; HP:0000716	ABCB7
PMID_11118249_PATIENT_III.3	HP:0001263; HP:0001251; HP:0012187; HP:0001288; HP:0020081; HP:0001272; HP:0002363	ABCB7
PMID_4045952_III.1	HP:0012187; HP:0001263; HP:0001924; HP:0000486; HP:0002075; HP:0001347; HP:0004447; HP:0004840; HP:0012132; HP:0031020; HP:0001288; HP:0002470; HP:0002403; HP:0001310; HP:0001260	ABCB7
PMID_37951597_Family_18_Subject_1	HP:0001263; HP:0000750; HP:0031936; HP:0000020; HP:0001337	ACBD6
PMID_37951597_Family_13_Subject_1	HP:0002123; HP:0001263; HP:0000750; HP:0031936; HP:0000729; HP:0025161; HP:0002360; HP:0000280; HP:0025331; HP:0005280; HP:0000445; HP:0000232; HP:0000219; HP:0000020; HP:0100033; HP:0001251; HP:0000582; HP:0000490; HP:0001337; HP:0025403; HP:0002061; HP:0006986; HP:0002172; HP:0002591	ACBD6
PMID_37951597_Family_5_Subject_2	HP:0010819; HP:0001263; HP:0000750; HP:0031936; HP:0000729; HP:0000718; HP:0025161; HP:0002360; HP:0000280; HP:0025331; HP:0005280; HP:0000445; HP:0000232; HP:0000219; HP:0001251; HP:0000582; HP:0001337; HP:0025403; HP:0002061; HP:0002172; HP:0002079	ACBD6
PMID_37951597_Family_20_Subject_2	HP:0001263; HP:0000750; HP:0031936; HP:0025161; HP:0005280; HP:0000445; HP:0000020; HP:0001251; HP:0000582; HP:0025403; HP:0001332	ACBD6
PMID_37951597_Family_26_Subject_2	HP:0001263; HP:0001251; HP:0002061; HP:0006986; HP:0001513	ACBD6
PMID_37951597_Family_3_Subject_1	HP:0001263; HP:0000750; HP:0031936; HP:0000280; HP:0000232; HP:0000219; HP:0001251; HP:0000303; HP:0000490; HP:0001337; HP:0025403; HP:0002061; HP:0001300; HP:0011003; HP:0001252; HP:0000822; HP:0000286; HP:0000639; HP:0000322; HP:0000506; HP:0002079; HP:0002119	ACBD6
PMID_37951597_Family_12_Subject_2	HP:0001263; HP:0000750; HP:0031936; HP:0000219; HP:0001251; HP:0000582	ACBD6
PMID_37951597_Family_9_Subject_1	HP:0007359; HP:0001263; HP:0000750; HP:0000505	ACBD6
PMID_37951597_Family_8_Subject_1	HP:0001263; HP:0001344; HP:0031936; HP:0000280; HP:0005280; HP:0000445; HP:0100033; HP:0001251; HP:0025403; HP:0002061; HP:0002172; HP:0030302; HP:0007068	ACBD6
PMID_37951597_Family_14_Subject_1	HP:0001263; HP:0000750; HP:0031936; HP:0000718; HP:0002360; HP:0005280; HP:0000445; HP:0000219; HP:0000020; HP:0001251; HP:0000582; HP:0002650; HP:0001337; HP:0025403; HP:0002061; HP:0006986; HP:0002172; HP:0002079	ACBD6
